School DBN,# of students over five active on register,# of students w/ at least one dose,% w/ at least one dose,# of students fully vaccinated,% fully vaccinated
02M545,373,343,0.92,332,0.89
02M546,442,339,0.767,317,0.717
02M550,425,253,0.595,168,0.395
02M551,512,409,0.799,387,0.756
02M560,501,300,0.599,221,0.441
02M565,151,125,0.828,110,0.728
02M570,174,87,0.5,52,0.299
02M575,638,296,0.464,170,0.266
02M580,278,213,0.766,191,0.687
02M586,66,42,0.636,30,0.455
02M600,1662,1281,0.771,1181,0.711
02M605,255,219,0.859,199,0.78
02M615,426,325,0.763,297,0.697
02M630,1500,1242,0.828,1191,0.794
02M655,329,231,0.702,210,0.638
02M896,343,291,0.848,275,0.802
02M933,120,71,0.592,57,0.475
03M009,457,383,0.838,361,0.79
03M054,758,666,0.879,623,0.822
03M075,443,279,0.63,229,0.517
03M076,266,139,0.523,102,0.383
03M084,480,364,0.758,316,0.658
03M087,624,535,0.857,507,0.813
03M145,347,158,0.455,129,0.372
03M149,241,109,0.452,87,0.361
03M163,386,251,0.65,223,0.578
03M165,316,172,0.544,141,0.446
03M166,588,495,0.842,464,0.789
03M180,339,188,0.555,155,0.457
03M185,234,92,0.393,76,0.325
03M191,439,205,0.467,159,0.362
03M199,549,465,0.847,443,0.807
03M241,94,31,0.33,27,0.287
03M242,115,46,0.4,31,0.27
03M243,259,221,0.853,215,0.83
03M245,368,309,0.84,287,0.78
03M247,207,160,0.773,151,0.729
03M250,95,56,0.589,46,0.484
03M256,152,110,0.724,100,0.658
03M258,173,126,0.728,116,0.671
03M291,714,634,0.888,598,0.838
03M299,120,85,0.708,73,0.608
03M307,359,274,0.763,244,0.68
03M333,499,376,0.754,364,0.729
03M334,509,455,0.894,428,0.841
03M402,258,202,0.783,183,0.709
03M403,414,302,0.729,266,0.643
03M404,105,60,0.571,37,0.352
03M415,381,260,0.682,229,0.601
03M417,403,362,0.898,346,0.859
03M421,157,87,0.554,76,0.484
03M452,310,228,0.735,208,0.671
03M479,1496,1386,0.926,1333,0.891
03M485,2350,2114,0.9,2019,0.859
03M492,396,288,0.727,251,0.634
03M494,439,315,0.718,287,0.654
03M505,197,106,0.538,68,0.345
03M541,434,392,0.903,376,0.866
03M859,294,258,0.878,242,0.823
03M860,351,208,0.593,179,0.51
03M862,360,270,0.75,253,0.703
04M007,285,123,0.432,95,0.333
04M012,534,445,0.833,410,0.768
04M037,188,79,0.42,59,0.314
04M038,147,35,0.238,25,0.17
04M057,534,278,0.521,230,0.431
04M072,515,265,0.515,207,0.402
04M083,305,125,0.41,103,0.338
04M096,334,171,0.512,128,0.383
04M102,136,68,0.5,49,0.36
04M108,345,157,0.455,123,0.357
04M112,185,90,0.486,71,0.384
04M146,283,92,0.325,67,0.237
04M155,182,46,0.253,34,0.187
04M171,679,364,0.536,329,0.485
04M182,221,114,0.516,96,0.434
04M206,450,276,0.613,239,0.531
04M224,178,129,0.725,114,0.64
04M310,129,86,0.667,65,0.504
04M372,465,315,0.677,274,0.589
04M375,170,49,0.288,33,0.194
04M377,184,107,0.582,84,0.457
04M435,1547,1355,0.876,1286,0.831
04M495,358,308,0.86,296,0.827
04M497,132,81,0.614,74,0.561
04M555,503,449,0.893,427,0.849
04M610,454,372,0.819,348,0.767
04M680,301,206,0.684,193,0.641
04M825,310,189,0.61,169,0.545
04M964,366,235,0.642,185,0.505
05M030,148,63,0.426,45,0.304
05M036,228,84,0.368,61,0.268
05M046,440,166,0.377,119,0.27
05M092,191,57,0.298,38,0.199
05M123,372,161,0.433,98,0.263
05M125,250,152,0.608,133,0.532
05M129,199,82,0.412,66,0.332
05M133,167,71,0.425,52,0.311
05M148,250,142,0.568,118,0.472
05M154,180,68,0.378,52,0.289
05M157,176,97,0.551,82,0.466
05M161,615,302,0.491,219,0.356
05M175,248,91,0.367,59,0.238
05M194,155,46,0.297,33,0.213
05M197,186,61,0.328,37,0.199
05M200,254,78,0.307,52,0.205
05M285,160,84,0.525,59,0.369
05M286,78,34,0.436,29,0.372
05M304,194,120,0.619,105,0.541
05M318,177,67,0.379,54,0.305
05M362,647,570,0.881,552,0.853
05M369,318,200,0.629,172,0.541
05M371,118,47,0.398,34,0.288
05M499,872,552,0.633,476,0.546
05M514,100,51,0.51,42,0.42
05M517,316,196,0.62,168,0.532
05M670,506,319,0.63,267,0.528
05M692,519,489,0.942,483,0.931
06M004,390,152,0.39,112,0.287
06M005,399,171,0.429,145,0.363
06M008,318,152,0.478,127,0.399
06M018,284,156,0.549,110,0.387
06M028,391,150,0.384,110,0.281
06M048,298,118,0.396,94,0.315
06M052,192,134,0.698,120,0.625
06M098,248,85,0.343,59,0.238
06M103,407,249,0.612,209,0.514
06M115,361,147,0.407,110,0.305
06M128,445,205,0.461,163,0.366
06M132,156,52,0.333,33,0.212
06M143,206,129,0.626,103,0.5
06M152,414,152,0.367,110,0.266
06M153,340,123,0.362,98,0.288
06M173,322,109,0.339,84,0.261
06M178,254,128,0.504,109,0.429
06M187,729,514,0.705,472,0.647
06M189,439,165,0.376,109,0.248
06M192,252,89,0.353,66,0.262
06M209,314,234,0.745,205,0.653
06M210,397,203,0.511,155,0.39
06M211,403,314,0.779,273,0.677
06M223,248,187,0.754,173,0.698
06M278,407,235,0.577,211,0.518
06M293,580,474,0.817,439,0.757
06M311,393,215,0.547,191,0.486
06M314,241,182,0.755,170,0.705
06M319,276,185,0.67,162,0.587
06M322,268,159,0.593,133,0.496
06M324,274,181,0.661,153,0.558
06M328,148,96,0.649,91,0.615
06M346,628,452,0.72,408,0.65
06M348,905,608,0.672,546,0.603
06M349,77,52,0.675,36,0.468
06M366,463,241,0.521,206,0.445
06M368,180,100,0.556,87,0.483
06M423,147,92,0.626,70,0.476
06M462,286,205,0.717,178,0.622
06M463,326,215,0.66,188,0.577
06M467,373,259,0.694,223,0.598
06M468,367,259,0.706,235,0.64
06M513,181,119,0.657,99,0.547
06M528,236,138,0.585,107,0.453
06M540,1404,1086,0.774,958,0.682
06M552,535,382,0.714,326,0.609
07X001,423,147,0.348,100,0.236
07X005,543,240,0.442,175,0.322
07X018,356,121,0.34,86,0.242
07X025,449,162,0.361,106,0.236
07X029,684,258,0.377,189,0.276
07X030,389,117,0.301,83,0.213
07X031,614,268,0.436,208,0.339
07X043,270,101,0.374,60,0.222
07X049,486,152,0.313,108,0.222
07X065,225,71,0.316,42,0.187
07X154,229,80,0.349,62,0.271
07X157,449,142,0.316,95,0.212
07X161,294,113,0.384,69,0.235
07X179,196,62,0.316,36,0.184
07X221,627,434,0.692,371,0.592
07X223,642,482,0.751,438,0.682
07X224,232,134,0.578,109,0.47
07X259,649,453,0.698,399,0.615
07X277,274,93,0.339,48,0.175
07X296,221,119,0.538,96,0.434
07X298,164,99,0.604,81,0.494
07X334,361,246,0.681,200,0.554
07X343,292,171,0.586,148,0.507
07X359,208,79,0.38,55,0.264
07X369,193,72,0.373,46,0.238
07X379,170,69,0.406,53,0.312
07X381,97,46,0.474,24,0.247
07X427,283,203,0.717,178,0.629
07X473,193,121,0.627,101,0.523
07X495,565,486,0.86,454,0.804
07X500,535,408,0.763,368,0.688
07X522,249,162,0.651,132,0.53
07X527,443,316,0.713,266,0.6
07X548,487,320,0.657,257,0.528
07X551,527,305,0.579,260,0.493
07X557,226,130,0.575,99,0.438
07X584,223,125,0.561,100,0.448
07X600,426,294,0.69,263,0.617
07X625,113,82,0.726,74,0.655
07X670,286,200,0.699,170,0.594
08X014,547,166,0.303,124,0.227
08X036,678,304,0.448,231,0.341
08X048,431,145,0.336,96,0.223
08X062,450,162,0.36,111,0.247
08X069,486,173,0.356,107,0.22
08X071,1254,531,0.423,450,0.359
08X072,580,214,0.369,172,0.297
08X075,414,159,0.384,114,0.275
08X093,267,85,0.318,57,0.213
08X100,401,162,0.404,115,0.287
08X101,533,326,0.612,295,0.553
08X107,448,146,0.326,98,0.219
08X119,546,253,0.463,190,0.348
08X123,547,323,0.59,275,0.503
08X130,286,96,0.336,73,0.255
08X131,345,194,0.562,158,0.458
08X138,472,165,0.35,122,0.258
08X140,380,175,0.461,135,0.355
08X146,321,135,0.421,89,0.277
08X152,666,265,0.398,206,0.309
08X182,457,163,0.357,105,0.23
08X269,616,435,0.706,383,0.622
08X282,194,105,0.541,93,0.479
08X293,411,273,0.664,243,0.591
08X301,174,96,0.552,82,0.471
08X302,398,221,0.555,186,0.467
08X304,464,183,0.394,144,0.31
08X312,381,264,0.693,233,0.612
08X320,322,221,0.686,195,0.606
08X333,492,190,0.386,138,0.28
08X337,437,280,0.641,243,0.556
08X348,347,210,0.605,185,0.533
08X349,420,308,0.733,272,0.648
08X367,552,346,0.627,297,0.538
08X371,356,219,0.615,191,0.537
08X375,192,85,0.443,65,0.339
08X376,404,252,0.624,208,0.515
08X377,91,44,0.484,30,0.33
08X392,371,135,0.364,98,0.264
08X405,1008,698,0.692,610,0.605
08X424,284,162,0.57,126,0.444
08X432,323,220,0.681,182,0.563
08X448,346,204,0.59,168,0.486
08X452,304,180,0.592,142,0.467
08X467,349,175,0.501,143,0.41
08X530,347,254,0.732,222,0.64
08X537,157,72,0.459,42,0.268
08X558,451,324,0.718,290,0.643
08X561,378,237,0.627,195,0.516
08X562,530,339,0.64,293,0.553
08X583,318,148,0.465,118,0.371
09X004,332,118,0.355,82,0.247
09X011,397,125,0.315,90,0.227
09X022,318,176,0.553,140,0.44
09X028,562,231,0.411,175,0.311
09X035,451,190,0.421,127,0.282
09X042,298,108,0.362,69,0.232
09X053,642,213,0.332,141,0.22
09X055,446,130,0.291,93,0.209
09X058,299,107,0.358,55,0.184
09X063,379,109,0.288,72,0.19
09X070,782,291,0.372,205,0.262
09X073,289,102,0.353,72,0.249
09X088,92,22,0.239,17,0.185
09X109,405,129,0.319,93,0.23
09X110,316,97,0.307,70,0.222
09X114,483,190,0.393,121,0.251
09X117,400,243,0.608,208,0.52
09X126,467,153,0.328,99,0.212
09X128,316,216,0.684,186,0.589
09X132,309,79,0.256,52,0.168
09X163,269,103,0.383,65,0.242
09X170,161,49,0.304,27,0.168
09X199,493,163,0.331,110,0.223
09X204,513,205,0.4,145,0.283
09X215,277,149,0.538,125,0.451
09X218,874,480,0.549,388,0.444
09X219,249,140,0.562,115,0.462
09X227,375,288,0.768,253,0.675
09X229,181,84,0.464,70,0.387
09X231,460,303,0.659,260,0.565
09X232,327,189,0.578,151,0.462
09X236,215,75,0.349,51,0.237
09X241,586,399,0.681,337,0.575
09X250,371,283,0.763,255,0.687
09X252,323,230,0.712,211,0.653
09X260,396,307,0.775,278,0.702
09X263,272,200,0.735,175,0.643
09X274,415,135,0.325,90,0.217
09X294,419,128,0.305,86,0.205
09X297,449,320,0.713,279,0.621
09X303,311,198,0.637,162,0.521
09X311,273,127,0.465,84,0.308
09X313,214,118,0.551,100,0.467
09X323,313,175,0.559,145,0.463
09X324,401,278,0.693,254,0.633
09X327,658,485,0.737,440,0.669
09X328,225,128,0.569,107,0.476
09X329,319,203,0.636,175,0.549
09X339,223,131,0.587,110,0.493
09X350,131,76,0.58,64,0.489
09X361,371,238,0.642,188,0.507
09X365,381,273,0.717,235,0.617
09X403,340,232,0.682,196,0.576
09X404,118,67,0.568,55,0.466
09X412,291,204,0.701,169,0.581
09X413,465,342,0.735,303,0.652
09X443,383,117,0.305,86,0.225
09X449,351,136,0.387,103,0.293
09X454,368,226,0.614,201,0.546
09X457,405,165,0.407,101,0.249
09X505,724,531,0.733,476,0.657
09X517,254,169,0.665,131,0.516
09X525,343,243,0.708,202,0.589
09X543,164,108,0.659,89,0.543
09X555,375,147,0.392,122,0.325
09X564,357,233,0.653,186,0.521
09X568,529,406,0.767,365,0.69
09X593,148,99,0.669,84,0.568
09X594,199,110,0.553,92,0.462
10X003,274,134,0.489,115,0.42
10X007,423,166,0.392,122,0.288
10X008,706,278,0.394,217,0.307
10X009,615,224,0.364,161,0.262
10X015,401,214,0.534,175,0.436
10X020,789,352,0.446,271,0.343
10X023,341,123,0.361,90,0.264
10X024,719,471,0.655,421,0.586
10X032,587,223,0.38,158,0.269
10X033,707,276,0.39,181,0.256
10X037,496,217,0.438,170,0.343
10X045,561,338,0.602,299,0.533
10X046,665,275,0.414,196,0.295
10X051,126,50,0.397,34,0.27
10X054,346,119,0.344,82,0.237
10X056,617,267,0.433,215,0.348
10X059,413,135,0.327,88,0.213
10X077,481,206,0.428,157,0.326
10X080,570,300,0.526,246,0.432
10X081,683,376,0.551,320,0.469
10X085,667,290,0.435,210,0.315
10X086,1329,472,0.355,347,0.261
10X091,444,162,0.365,111,0.25
10X094,922,361,0.392,265,0.287
10X095,981,462,0.471,380,0.387
10X118,770,529,0.687,459,0.596
10X141,1423,1051,0.739,976,0.686
10X159,154,58,0.377,41,0.266
10X205,693,267,0.385,205,0.296
10X206,207,118,0.57,92,0.444
10X207,323,90,0.279,66,0.204
10X209,195,49,0.251,38,0.195
10X213,384,268,0.698,232,0.604
10X225,533,365,0.685,324,0.608
10X226,314,94,0.299,66,0.21
10X228,264,185,0.701,170,0.644
10X237,307,217,0.707,189,0.616
10X243,646,449,0.695,407,0.63
10X244,637,417,0.655,346,0.543
10X246,541,195,0.36,142,0.262
10X254,452,267,0.591,225,0.498
10X264,423,299,0.707,270,0.638
10X268,276,171,0.62,138,0.5
10X279,775,359,0.463,281,0.363
10X280,725,315,0.434,250,0.345
10X284,321,210,0.654,175,0.545
10X291,451,171,0.379,105,0.233
10X306,493,163,0.331,127,0.258
10X307,252,122,0.484,84,0.333
10X308,249,149,0.598,127,0.51
10X310,481,154,0.32,100,0.208
10X315,196,104,0.531,84,0.429
10X319,138,59,0.428,31,0.225
10X331,401,218,0.544,184,0.459
10X340,449,161,0.359,122,0.272
10X342,475,342,0.72,285,0.6
10X344,306,150,0.49,129,0.422
10X351,501,340,0.679,296,0.591
10X353,591,467,0.79,428,0.724
10X360,316,97,0.307,59,0.187
10X363,719,462,0.643,404,0.562
10X368,937,685,0.731,599,0.639
10X374,376,282,0.75,246,0.654
10X382,238,84,0.353,56,0.235
10X386,395,152,0.385,112,0.284
10X390,471,282,0.599,243,0.516
10X391,365,202,0.553,164,0.449
10X396,212,85,0.401,59,0.278
10X397,270,181,0.67,144,0.533
10X433,387,282,0.729,241,0.623
10X434,387,297,0.767,276,0.713
10X437,389,300,0.771,273,0.702
10X438,396,290,0.732,261,0.659
10X439,395,293,0.742,263,0.666
10X440,997,721,0.723,657,0.659
10X442,424,356,0.84,333,0.785
10X445,2974,2809,0.945,2750,0.925
10X447,436,280,0.642,241,0.553
10X477,436,350,0.803,323,0.741
10X524,324,219,0.676,173,0.534
10X546,256,167,0.652,139,0.543
10X549,410,309,0.754,278,0.678
10X565,416,284,0.683,236,0.567
10X696,405,375,0.926,363,0.896
11X016,254,107,0.421,79,0.311
11X019,577,259,0.449,218,0.378
11X021,504,166,0.329,120,0.238
11X041,651,225,0.346,156,0.24
11X068,431,149,0.346,107,0.248
11X076,690,240,0.348,166,0.241
11X078,580,197,0.34,150,0.259
11X083,1635,586,0.358,474,0.29
11X087,345,111,0.322,84,0.243
11X089,1241,536,0.432,413,0.333
11X096,791,226,0.286,163,0.206
11X097,471,195,0.414,161,0.342
11X103,740,275,0.372,196,0.265
11X105,700,244,0.349,182,0.26
11X106,845,451,0.534,374,0.443
11X108,499,169,0.339,139,0.279
11X111,441,164,0.372,113,0.256
11X112,334,98,0.293,69,0.207
11X121,548,210,0.383,154,0.281
11X127,808,550,0.681,486,0.601
11X144,415,222,0.535,179,0.431
11X153,451,236,0.523,195,0.432
11X160,300,122,0.407,100,0.333
11X169,296,105,0.355,68,0.23
11X175,240,117,0.488,91,0.379
11X178,300,130,0.433,103,0.343
11X180,838,535,0.638,465,0.555
11X181,733,483,0.659,432,0.589
11X189,264,93,0.352,67,0.254
11X194,1142,636,0.557,551,0.482
11X249,342,251,0.734,222,0.649
11X253,219,130,0.594,104,0.475
11X265,261,167,0.64,148,0.567
11X270,387,241,0.623,216,0.558
11X275,482,339,0.703,305,0.633
11X287,377,186,0.493,140,0.371
11X288,566,413,0.73,363,0.641
11X290,356,232,0.652,194,0.545
11X299,443,319,0.72,291,0.657
11X326,365,196,0.537,161,0.441
11X355,259,138,0.533,111,0.429
11X357,335,137,0.409,113,0.337
11X370,403,197,0.489,167,0.414
11X418,419,264,0.63,233,0.556
11X455,2085,1462,0.701,1316,0.631
11X462,202,117,0.579,106,0.525
11X468,280,154,0.55,131,0.468
11X481,280,78,0.279,52,0.186
11X483,240,78,0.325,57,0.238
11X498,578,273,0.472,238,0.412
11X508,399,274,0.687,239,0.599
11X509,341,204,0.598,170,0.499
11X513,314,196,0.624,166,0.529
11X514,340,201,0.591,169,0.497
11X529,320,210,0.656,185,0.578
11X532,286,165,0.577,142,0.497
11X542,488,362,0.742,321,0.658
11X544,268,172,0.642,141,0.526
11X545,177,108,0.61,88,0.497
11X556,396,199,0.503,163,0.412
11X566,338,174,0.515,143,0.423
11X567,344,143,0.416,114,0.331
12X006,419,140,0.334,93,0.222
12X044,199,68,0.342,47,0.236
12X047,836,317,0.379,223,0.267
12X057,387,150,0.388,109,0.282
12X061,210,76,0.362,51,0.243
12X066,423,123,0.291,70,0.165
12X067,325,121,0.372,76,0.234
12X098,162,102,0.63,88,0.543
12X129,383,223,0.582,177,0.462
12X134,412,129,0.313,68,0.165
12X150,520,189,0.363,124,0.238
12X190,239,144,0.603,116,0.485
12X195,757,261,0.345,176,0.232
12X196,661,291,0.44,207,0.313
12X211,387,188,0.486,149,0.385
12X214,901,401,0.445,313,0.347
12X217,260,148,0.569,120,0.462
12X242,667,496,0.744,459,0.688
12X248,155,109,0.703,95,0.613
12X251,313,209,0.668,187,0.597
12X267,514,384,0.747,339,0.66
12X271,562,388,0.69,333,0.593
12X273,233,121,0.519,92,0.395
12X286,264,142,0.538,115,0.436
12X300,437,145,0.332,82,0.188
12X314,192,61,0.318,38,0.198
12X316,313,192,0.613,165,0.527
12X318,170,104,0.612,85,0.5
12X341,287,159,0.554,132,0.46
12X383,365,226,0.619,196,0.537
12X388,339,250,0.737,211,0.622
12X446,165,91,0.552,67,0.406
12X458,225,95,0.422,64,0.284
12X463,331,116,0.35,84,0.254
12X478,353,279,0.79,257,0.728
12X479,272,180,0.662,152,0.559
12X480,106,44,0.415,27,0.255
12X511,335,224,0.669,192,0.573
12X521,431,304,0.705,270,0.626
12X531,321,127,0.396,95,0.296
12X536,299,128,0.428,79,0.264
12X550,312,231,0.74,200,0.641
12X595,250,79,0.316,44,0.176
12X682,450,289,0.642,254,0.564
12X684,274,164,0.599,140,0.511
12X691,279,134,0.48,93,0.333
13K003,207,84,0.406,57,0.275
13K008,569,514,0.903,479,0.842
13K009,644,439,0.682,397,0.616
13K011,754,463,0.614,414,0.549
13K020,510,340,0.667,313,0.614
13K044,104,25,0.24,15,0.144
13K046,185,56,0.303,40,0.216
13K054,138,48,0.348,35,0.254
13K056,223,129,0.578,105,0.471
13K067,182,52,0.286,35,0.192
13K093,138,31,0.225,24,0.174
13K113,266,136,0.511,111,0.417
13K133,570,373,0.654,325,0.57
13K256,197,42,0.213,28,0.142
13K265,276,148,0.536,128,0.464
13K266,109,61,0.56,49,0.45
13K270,75,27,0.36,17,0.227
13K282,418,255,0.61,235,0.562
13K287,108,26,0.241,15,0.139
13K301,76,29,0.382,23,0.303
13K307,284,122,0.43,96,0.338
13K313,264,158,0.598,143,0.542
13K350,126,80,0.635,75,0.595
13K351,193,118,0.611,105,0.544
13K412,529,314,0.594,262,0.495
13K419,508,345,0.679,319,0.628
13K430,5921,5428,0.917,5294,0.894
13K439,318,202,0.635,159,0.5
13K483,444,325,0.732,288,0.649
13K492,631,466,0.739,435,0.689
13K527,463,297,0.641,260,0.562
13K553,109,31,0.284,20,0.183
13K594,201,143,0.711,131,0.652
13K595,370,284,0.768,259,0.7
13K605,634,412,0.65,360,0.568
13K616,142,54,0.38,30,0.211
13K670,789,578,0.733,508,0.644
13K674,470,334,0.711,297,0.632
13K691,166,94,0.566,80,0.482
13K915,291,229,0.787,214,0.735
14K016,169,39,0.231,20,0.118
14K017,196,71,0.362,55,0.281
14K018,169,57,0.337,43,0.254
14K023,207,66,0.319,47,0.227
14K031,472,255,0.54,212,0.449
14K034,362,194,0.536,174,0.481
14K050,319,185,0.58,156,0.489
14K059,269,87,0.323,62,0.23
14K071,490,333,0.68,284,0.58
14K084,568,326,0.574,284,0.5
14K110,417,285,0.683,256,0.614
14K120,280,101,0.361,80,0.286
14K126,223,107,0.48,92,0.413
14K132,546,332,0.608,292,0.535
14K147,197,74,0.376,59,0.299
14K157,262,113,0.431,86,0.328
14K196,270,100,0.37,79,0.293
14K250,276,105,0.38,84,0.304
14K257,442,126,0.285,103,0.233
14K297,194,63,0.325,43,0.222
14K318,1154,852,0.738,767,0.665
14K319,72,21,0.292,13,0.181
14K380,368,124,0.337,89,0.242
14K414,509,301,0.591,255,0.501
14K449,836,750,0.897,734,0.878
14K454,386,265,0.687,237,0.614
14K474,402,283,0.704,232,0.577
14K477,417,270,0.647,226,0.542
14K478,532,373,0.701,329,0.618
14K488,538,387,0.719,343,0.638
14K558,583,416,0.714,376,0.645
14K561,659,507,0.769,464,0.704
14K577,435,253,0.582,215,0.494
14K582,321,176,0.548,152,0.474
14K586,395,245,0.62,202,0.511
14K610,343,231,0.673,209,0.609
14K614,339,233,0.687,204,0.602
14K685,210,133,0.633,113,0.538
15K001,803,360,0.448,281,0.35
15K010,825,697,0.845,648,0.785
15K015,340,167,0.491,136,0.4
15K024,481,205,0.426,161,0.335
15K029,699,612,0.876,581,0.831
15K032,393,278,0.707,257,0.654
15K038,443,277,0.625,258,0.582
15K039,341,302,0.886,279,0.818
15K051,1074,872,0.812,800,0.745
15K058,698,609,0.872,580,0.831
15K088,1135,877,0.773,802,0.707
15K094,1022,779,0.762,712,0.697
15K107,471,408,0.866,390,0.828
15K118,221,192,0.869,187,0.846
15K124,254,126,0.496,106,0.417
15K130,792,617,0.779,567,0.716
15K131,619,326,0.527,283,0.457
15K136,492,317,0.644,288,0.585
15K146,619,481,0.777,455,0.735
15K154,420,359,0.855,338,0.805
15K169,1028,699,0.68,643,0.625
15K172,494,265,0.536,217,0.439
15K230,918,557,0.607,443,0.483
15K261,595,434,0.729,399,0.671
15K295,264,173,0.655,158,0.598
15K321,1223,1134,0.927,1094,0.895
15K418,242,212,0.876,200,0.826
15K423,125,60,0.48,45,0.36
15K429,327,274,0.838,251,0.768
15K442,334,262,0.784,240,0.719
15K443,518,412,0.795,381,0.736
15K447,528,429,0.813,403,0.763
15K448,674,527,0.782,471,0.699
15K462,458,319,0.697,288,0.629
15K463,244,165,0.676,142,0.582
15K464,609,471,0.773,440,0.722
15K497,767,602,0.785,567,0.739
15K516,366,207,0.566,178,0.486
15K519,397,246,0.62,193,0.486
15K529,170,87,0.512,70,0.412
15K592,160,71,0.444,60,0.375
15K656,950,731,0.769,686,0.722
15K667,1359,1047,0.77,965,0.71
15K676,87,25,0.287,19,0.218
15K684,669,599,0.895,586,0.876
15K698,173,77,0.445,56,0.324
